"ID";"Year";"Month";"TransportType";"PassengerTraffic";"global_id";
"1";"2019";"Январь";"Автобус";"90444485";"1103632668";
"2";"2019";"Январь";"Трамвай";"16742026";"1103632669";
"3";"2019";"Январь";"Троллейбус";"13094342";"1103632670";
"4";"2019";"Январь";"Электробус";"469699";"1103632671";
"5";"2019";"Январь";"Московский метрополитен";"213159369";"1103632672";
"6";"2019";"Январь";"Московское центральное кольцо";"11125159";"1103632673";
"7";"2019";"Февраль";"Автобус";"98286518";"1103632674";
"8";"2019";"Февраль";"Трамвай";"18122803";"1103632675";
"9";"2019";"Февраль";"Троллейбус";"14153689";"1103632676";
"10";"2019";"Февраль";"Электробус";"608041";"1103632677";
"11";"2019";"Февраль";"Московский метрополитен";"199347467";"1103632678";
"12";"2019";"Февраль";"Московское центральное кольцо";"11091522";"1103632679";
"13";"2019";"Март";"Автобус";"108479742";"1103632680";
"14";"2019";"Март";"Трамвай";"20305700";"1103632681";
"15";"2019";"Март";"Троллейбус";"15552159";"1103632682";
"16";"2019";"Март";"Электробус";"811342";"1103632683";
"17";"2019";"Март";"Московский метрополитен";"218577293";"1103632684";
"18";"2019";"Март";"Московское центральное кольцо";"12055464";"1103632685";
"19";"2019";"Апрель";"Автобус";"108991584";"1103632686";
"20";"2019";"Апрель";"Трамвай";"21153024";"1103632687";
"21";"2019";"Апрель";"Троллейбус";"15835418";"1103632688";
"22";"2019";"Апрель";"Электробус";"1092112";"1103632689";
"23";"2019";"Апрель";"Московский метрополитен";"224621519";"1103632690";
"24";"2019";"Апрель";"Московское центральное кольцо";"13287223";"1103632691";
"25";"2019";"Май";"Автобус";"91892285";"1103632692";
"26";"2019";"Май";"Трамвай";"17585113";"1103632693";
"27";"2019";"Май";"Троллейбус";"12574608";"1103632694";
"28";"2019";"Май";"Электробус";"1207262";"1103632695";
"29";"2019";"Май";"Московский метрополитен";"201716617";"1103632696";
"30";"2019";"Май";"Московское центральное кольцо";"11906679";"1103632697";
"31";"2019";"Июнь";"Автобус";"83266607";"1103632698";
"32";"2019";"Июнь";"Трамвай";"16284383";"1103632699";
"33";"2019";"Июнь";"Троллейбус";"10860124";"1103632700";
"34";"2019";"Июнь";"Электробус";"1462877";"1103632701";
"35";"2019";"Июнь";"Московский метрополитен";"196759107";"1103632702";
"36";"2019";"Июнь";"Московское центральное кольцо";"11572442";"1103632703";
