iter	Passed	Remaining
0	3	1968
1	6	1691
2	9	1565
3	12	1508
4	14	1429
5	18	1507
6	21	1483
7	24	1506
8	27	1488
9	29	1464
10	33	1492
11	37	1513
12	40	1522
13	43	1509
14	46	1491
15	50	1521
16	53	1520
17	56	1519
18	59	1509
19	62	1500
20	68	1570
21	72	1584
22	77	1612
23	83	1649
24	86	1634
25	88	1610
26	90	1585
27	92	1566
28	96	1568
29	99	1562
30	102	1545
31	104	1522
32	106	1505
33	109	1499
34	113	1511
35	116	1497
36	118	1482
37	120	1469
38	123	1455
39	125	1442
40	128	1442
41	131	1433
42	133	1421
43	136	1410
44	138	1400
45	140	1389
46	143	1382
47	146	1378
48	148	1370
49	151	1360
50	153	1352
51	155	1343
52	158	1335
53	162	1340
54	164	1333
55	167	1327
56	169	1319
57	172	1311
58	174	1303
59	177	1304
60	180	1298
61	183	1295
62	186	1291
63	188	1286
64	191	1281
65	194	1281
66	197	1275
67	199	1270
68	202	1263
69	204	1256
70	206	1249
71	210	1249
72	212	1245
73	215	1240
74	217	1234
75	220	1228
76	222	1222
77	225	1222
78	228	1217
79	231	1212
80	233	1207
81	235	1201
82	237	1195
83	240	1193
84	243	1189
85	246	1185
86	248	1179
87	250	1174
88	253	1168
89	256	1167
90	260	1170
91	262	1166
92	265	1161
93	267	1156
94	270	1152
95	273	1151
96	276	1149
97	279	1145
98	281	1140
99	283	1135
100	286	1130
101	289	1129
102	292	1126
103	294	1123
104	297	1118
105	299	1113
106	301	1108
107	304	1104
108	307	1103
109	309	1099
110	312	1094
111	314	1089
112	316	1085
113	319	1081
114	323	1081
115	325	1077
116	328	1073
117	331	1071
118	334	1069
119	337	1067
120	339	1064
121	342	1061
122	344	1056
123	347	1052
124	349	1048
125	351	1044
126	355	1044
127	358	1040
128	360	1036
129	362	1032
130	364	1028
131	367	1024
132	371	1023
133	373	1020
134	375	1015
135	377	1011
136	380	1007
137	382	1003
138	385	1000
139	388	998
140	390	994
141	392	990
142	395	986
143	397	982
144	399	979
145	403	978
146	406	976
147	408	972
148	411	968
149	413	964
150	415	960
151	419	960
152	421	957
153	424	953
154	426	950
155	429	946
156	431	942
157	435	942
158	438	940
159	440	936
160	443	932
161	445	929
162	447	925
163	451	924
164	453	920
165	455	916
166	457	913
167	460	909
168	462	905
169	465	902
170	468	901
171	470	897
172	473	894
173	475	890
174	478	888
175	481	886
176	484	884
177	487	881
178	489	878
179	492	874
180	494	871
181	497	868
182	500	866
183	502	863
184	505	860
185	507	856
186	509	852
187	511	849
188	515	848
189	518	845
190	520	842
191	523	839
192	525	835
193	527	832
194	531	830
195	533	828
196	536	825
197	538	821
198	541	818
199	543	815
200	545	812
201	549	810
202	552	807
203	554	805
204	557	802
205	559	798
206	563	797
207	565	794
208	568	791
209	570	787
210	572	784
211	575	781
212	578	778
213	581	776
214	583	773
215	586	770
216	588	767
217	590	764
218	593	761
219	596	759
220	599	756
221	601	753
222	603	750
223	606	746
224	608	743
225	611	741
226	614	739
227	617	736
228	619	733
229	621	729
230	624	727
231	628	726
232	631	723
233	633	720
234	636	717
235	638	714
236	640	711
237	645	710
238	647	707
239	650	704
240	652	701
241	654	698
242	657	694
243	660	692
244	663	690
245	665	687
246	667	684
247	670	681
248	672	677
249	675	675
250	678	673
251	681	670
252	683	667
253	685	664
254	687	661
255	690	657
256	693	655
257	696	653
258	699	650
259	702	648
260	704	645
261	708	643
262	710	640
263	713	637
264	715	634
265	717	631
266	720	628
267	722	625
268	725	623
269	728	620
270	730	617
271	733	614
272	735	611
273	737	608
274	741	606
275	744	603
276	746	601
277	749	598
278	751	595
279	753	592
280	757	590
281	760	587
282	762	584
283	765	581
284	767	578
285	769	575
286	773	574
287	776	571
288	779	568
289	781	566
290	784	563
291	786	560
292	789	557
293	792	555
294	794	552
295	797	549
296	799	546
297	801	543
298	804	541
299	807	538
300	810	535
301	812	532
302	814	529
303	817	526
304	819	524
305	822	521
306	825	518
307	828	516
308	830	513
309	832	510
310	835	507
311	838	505
312	841	502
313	843	499
314	846	497
315	849	494
316	853	492
317	856	489
318	858	487
319	861	484
320	863	481
321	865	478
322	868	476
323	871	473
324	874	470
325	876	467
326	878	464
327	880	461
328	883	459
329	886	456
330	889	453
331	891	451
332	893	448
333	896	445
334	898	442
335	901	440
336	904	437
337	907	434
338	909	431
339	911	429
340	914	426
341	917	423
342	920	421
343	923	418
344	925	416
345	928	413
346	930	410
347	934	408
348	937	405
349	939	402
350	942	399
351	944	397
352	946	394
353	950	392
354	953	389
355	956	386
356	958	384
357	961	381
358	964	378
359	968	376
360	970	373
361	973	371
362	976	368
363	978	365
364	982	363
365	985	360
366	988	358
367	990	355
368	993	352
369	998	350
370	1001	348
371	1004	345
372	1006	342
373	1009	340
374	1012	337
375	1015	335
376	1018	332
377	1021	329
378	1023	326
379	1026	324
380	1029	321
381	1032	319
382	1035	316
383	1037	313
384	1040	310
385	1043	308
386	1047	305
387	1050	303
388	1055	301
389	1061	299
390	1066	297
391	1071	295
392	1074	292
393	1079	290
394	1082	287
395	1085	285
396	1087	282
397	1090	279
398	1094	276
399	1097	274
400	1099	271
401	1102	268
402	1104	265
403	1106	263
404	1111	260
405	1114	257
406	1116	255
407	1119	252
408	1122	249
409	1125	247
410	1129	244
411	1132	241
412	1135	239
413	1138	236
414	1143	234
415	1147	231
416	1150	228
417	1152	226
418	1155	223
419	1159	220
420	1163	218
421	1166	215
422	1169	212
423	1172	210
424	1176	207
425	1178	204
426	1181	202
427	1184	199
428	1187	196
429	1191	193
430	1195	191
431	1198	188
432	1202	186
433	1207	183
434	1210	180
435	1213	178
436	1218	175
437	1222	173
438	1226	170
439	1229	167
440	1232	164
441	1236	162
442	1240	159
443	1243	156
444	1246	154
445	1250	151
446	1255	148
447	1257	145
448	1260	143
449	1263	140
450	1265	137
451	1269	134
452	1272	132
453	1275	129
454	1278	126
455	1280	123
456	1283	120
457	1287	118
458	1290	115
459	1293	112
460	1296	109
461	1298	106
462	1302	104
463	1305	101
464	1308	98
465	1311	95
466	1313	92
467	1317	90
468	1320	87
469	1323	84
470	1326	81
471	1329	78
472	1332	76
473	1335	73
474	1338	70
475	1341	67
476	1343	64
477	1346	61
478	1350	59
479	1352	56
480	1355	53
481	1358	50
482	1361	47
483	1366	45
484	1368	42
485	1371	39
486	1374	36
487	1377	33
488	1380	31
489	1384	28
490	1386	25
491	1389	22
492	1392	19
493	1395	16
494	1399	14
495	1402	11
496	1405	8
497	1407	5
498	1410	2
499	1414	0
